0	20	1
0	21	1
0	24	1
0	25	1
0	26	1
0	27	1
0	28	1
0	29	1
0	30	1
0	31	1
0	32	1
1	34	1
1	35	1
1	36	1
1	37	1
1	38	1
1	39	1
1	40	1
1	42	1
1	43	1
2	45	1
2	46	1
2	47	1
2	48	1
2	49	1
2	51	1
2	52	1
2	53	1
2	54	1
2	55	1
2	56	1
2	57	1
3	58	1
3	59	1
3	60	1
3	61	1
3	62	1
3	63	1
3	65	1
3	67	1
3	70	1
3	68	1
3	69	1
3	71	1
4	72	1
4	74	1
4	75	1
4	76	1
4	78	1
4	79	1
4	80	1
4	81	1
5	82	1
5	72	1
5	83	1
5	85	1
5	66	1
5	86	1
5	87	1
5	75	1
5	89	1
5	90	1
5	91	1
5	92	1
6	93	1
6	95	1
6	97	1
6	98	1
6	99	1
6	100	1
6	101	1
6	102	1
6	103	1
7	104	1
7	105	1
7	106	1
7	107	1
7	108	1
7	109	1
7	110	1
7	44	1
7	55	1
7	111	1
7	112	1
7	114	1
8	115	1
8	116	1
8	79	1
8	117	1
9	118	1
9	119	1
9	120	1
9	121	1
9	43	1
9	100	1
9	122	1
9	124	1
9	125	1
9	126	1
10	74	1
10	80	1
10	127	1
10	55	1
10	128	1
10	129	1
10	130	1
10	87	1
10	131	1
10	79	1
10	132	1
10	137	1
10	133	1
11	138	1
11	140	1
11	141	1
11	142	1
11	144	1
11	145	1
11	146	1
11	147	1
11	148	1
11	149	1
11	151	1
11	152	1
11	153	1
12	154	1
12	157	1
12	158	1
12	159	1
12	160	1
12	161	1
12	162	1
12	163	1
12	53	1
12	165	1
12	164	1
12	166	1
13	167	1
13	168	1
13	170	1
13	171	1
13	172	1
13	131	1
13	173	1
13	174	1
13	175	1
13	177	1
13	98	1
13	179	1
13	180	1
13	181	1
13	182	1
13	183	1
14	137	1
14	185	1
14	78	1
14	79	1
14	133	1
14	186	1
14	187	1
15	52	1
15	189	1
15	190	1
15	191	1
15	192	1
15	36	1
15	193	1
15	194	1
16	195	1
16	196	1
16	197	1
16	199	1
16	36	1
16	200	1
16	201	1
17	185	1
17	202	1
17	135	1
17	79	1
17	130	1
17	74	1
17	204	1
17	177	1
17	205	1
17	206	1
17	207	1
17	184	1
18	208	1
18	209	1
18	211	1
18	212	1
18	125	1
18	213	1
18	214	1
18	216	1
18	217	1
18	218	1
18	219	1
18	220	1
19	222	1
19	34	1
19	109	1
19	223	1
19	224	1
19	225	1
19	226	1
19	36	1
